date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-05-05,43-main,4-3,overnight,4,9459.605880780111,10479.495592122956,9459.605880780111,10479.495592122956,60244.52087082068,60619.78600391393,375.26513309325344,0.0,375.26513309325344,21316.78687337424,16348.696627224574,111.5435830851593,687.2325408494245,38022.293790606185,38175.25185885499,229.43710237321514,76.47903412440506,557.8646537461202,38809.59554672552,38809.59554672552,0.0,111.5435830851593,557.8646537461202,38809.59554672552,1.0231815394945443e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-05-06,43-main,4-3,overnight,4,10479.495592122956,10357.835036654891,10479.495592122956,10357.835036654891,58120.22172046303,58419.10853330631,298.88681284327555,0.0,298.88681284327555,20498.129165139715,16712.97912368443,0.0,1763.8761251843518,37303.17571504672,37460.03274366772,235.28554293149864,78.42851431049954,0.0,37538.46125797821,37538.46125797822,7.275957614183426e-12,0.0,0.0,37538.46125797821,9.237055564881302e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-05-07,43-main,4-3,overnight,4,10357.835036654891,9699.060566426228,10357.835036654891,9699.060566426228,58171.23055263418,58193.71566888905,22.485116254865147,0.0,22.485116254865147,19264.36891074198,16197.035840906803,0.0,58.53664905387997,37165.21490533587,37193.721750998244,42.76026849356432,14.253422831188105,0.0,37207.975173829436,37207.975173829436,0.0,0.0,0.0,37207.975173829436,1.0231815394945443e-12,2.842170943040401e-14,0.0,5.820233184294921e-12,0.0,9.094947017729282e-13
2025-05-08,43-main,4-3,overnight,4,9699.060566426228,10385.226033356319,9699.060566426228,10385.226033356319,61112.962034510856,60069.55359209495,0.0,1043.4084424159048,1043.4084424159048,18958.237589444096,14738.623527212636,0.0,23.42712986349636,38892.67395013789,38347.73446870866,-272.469740714617,272.469740714617,0.0,38620.204209423275,38620.204209423275,0.0,0.0,0.0,38620.204209423275,9.726663918740996e-13,5.684341886080802e-14,0.0,4.366285111245816e-12,0.0,9.094947017729282e-13
2025-05-09,43-main,4-3,overnight,4,10385.226033356319,10097.54648699567,10385.226033356319,10097.54648699567,28704.99413865484,28751.446239853693,46.45210119885124,0.0,46.45210119885124,21325.68441304167,17532.715966288335,0.0,16459.09194310036,11917.125100222158,11944.19738480085,40.60842686803575,13.53614228934525,0.0,11957.733527090193,11957.733527090193,0.0,0.0,0.0,11957.733527090193,8.464340339742193e-13,1.1368683772161603e-13,0.0,1.8189894035458565e-12,0.0,9.094947017729282e-13
2025-05-10,43-main,4-3,overnight,4,10097.54648699567,9673.087202342504,10097.54648699567,9673.087202342504,29157.028759197397,29195.72986442874,38.70110523134041,0.0,38.70110523134041,19755.961452004994,16384.3421323119,0.0,13703.065261402313,12661.680967232498,12684.466210051807,34.17786422896224,11.39262140965408,0.0,12695.85883146146,12695.85883146146,0.0,0.0,0.0,12695.85883146146,9.032774528350274e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-05-11,43-main,4-3,overnight,4,9673.087202342504,10426.041239801638,9673.087202342504,10426.041239801638,62788.66113209081,61628.36945606301,0.0,1160.2916760278047,1160.2916760278047,18361.186717202967,14194.902607221185,9.283054642207958,1987.2893173901045,39451.96384116125,38933.97396544114,-258.99493786005274,258.99493786005274,61.83442697174721,39254.803330272945,39254.80333027294,7.275957614183426e-12,9.283054642208072,61.834426971747966,39254.803330272945,8.970602038971265e-13,1.1368683772161603e-13,0.0,2.9114488597770105e-12,0.0,8.846257060213247e-13
2025-05-12,43-main,4-3,overnight,4,10426.041239801638,10790.0,10426.041239801638,10800.0,60186.89593861632,59257.01499610572,0.0,929.8809425106031,929.8809425106031,17059.939657504958,13490.988238400492,0.0,3756.8683436679166,38209.20718857198,37718.03441445228,-245.58638705984714,245.58638705984714,0.0,37963.62080151213,37963.62080151214,7.275957614183426e-12,0.0,0.0,37963.62080151213,9.85878045867139e-13,1.1368683772161603e-13,0.0,2.9114488597770105e-12,0.0,8.872902412804251e-13
2025-05-13,43-main,4-3,overnight,4,10790.0,10666.29648862922,10800.0,10666.29648862922,59336.67088918268,59135.35282115524,0.0,201.31806802744188,201.31806802744188,19073.8566915469,15561.157080386694,0.0,2493.4404433283757,37286.36936763142,37181.68028977372,-52.344538928852074,52.344538928852074,0.0,37234.02482870257,37234.02482870256,7.275957614183426e-12,0.0,0.0,37234.02482870257,9.876544027065393e-13,1.1368683772161603e-13,0.0,2.9114488597770105e-12,0.0,9.094947017729282e-13
2025-05-14,43-main,4-3,overnight,4,10666.29648862922,9861.593041707416,10666.29648862922,9861.593041707416,57935.80958182386,57751.247432439195,0.0,184.5621493846617,184.5621493846617,18653.170090844473,15833.300875813648,0.0,1917.2294340750473,36218.33067395275,36105.21567488735,-56.55749953269214,56.55749953269214,0.0,36161.77317442006,36161.77317442005,7.275957614183426e-12,0.0,0.0,36161.77317442006,9.094947017729282e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
