branch,date,plan_type,10:00-10:10,10:00-10:10_template_column,12:00-12:10,12:00-12:10_template_column,14:00-14:10,14:00-14:10_template_column,16:00-16:10,16:00-16:10_template_column,18:00-18:10,18:00-18:10_template_column,20:00-20:10,20:00-20:10_template_column,display_window_energy_kwh,display_window_plan_cost_yuan,display_window_adjustment_surcharge_yuan
4-2,2025-08-03,original,0.0,61,380.6730276906882,73,0.0,85,560.8907296632259,97,813.8849589648917,109,182.36245227973438,121,72681.13592088531,53081.71632183849,0.0
4-2,2025-08-04,original,0.0,61,0.0,73,0.0,85,512.9690468457061,97,775.6437461322141,109,180.06603850229976,121,68033.42461399767,50982.54373486355,0.0
4-2,2025-08-05,original,0.0,61,335.75655532506255,73,0.0,85,569.3048323406709,97,780.7848499791917,109,178.01179666142014,121,68195.76295543693,50614.358031044874,0.0
4-2,2025-08-06,original,0.0,61,345.20253326010754,73,0.0,85,535.9509990164661,97,778.2694092811694,109,182.88903249902023,121,68873.73548934977,51282.39127197867,0.0
4-2,2025-08-07,original,0.0,61,358.52723096299894,73,0.0,85,616.2395125132904,97,802.8039437583886,109,181.8826022099223,121,70572.51548034974,51691.109338446135,0.0
4-2,2025-08-08,original,0.0,61,0.0,73,0.0,85,84.06734955923389,97,541.24218438487,109,0.0,121,38577.838739989864,21634.11683446665,0.0
4-2,2025-08-09,original,0.0,61,0.0,73,0.0,85,0.0,97,569.6386009755304,109,0.0,121,37958.63043512446,21379.894375096363,0.0
4-2,2025-08-10,original,0.0,61,196.89040093902224,73,0.0,85,454.828587654385,97,785.2643263428481,109,200.7916980321521,121,68476.58369357181,50959.495033760366,0.0
4-2,2025-08-11,original,0.0,61,433.2910147995259,73,0.0,85,502.63425278265277,97,772.5684033920817,109,184.20799257988824,121,68462.12931573631,49695.77088623358,0.0
4-2,2025-08-12,original,0.0,61,430.49408554218337,73,0.0,85,466.8291652530073,97,774.0056820561194,109,195.4247408028067,121,68851.95854522189,51203.796488911874,0.0
4-2,2025-08-13,original,0.0,61,316.0203791777602,73,0.0,85,527.2899941309909,97,783.6015380011793,109,168.35613340745158,121,70724.19255138596,52139.66413983182,0.0
4-2,2025-08-14,original,0.0,61,310.62841118577137,73,0.0,85,482.2269836294238,97,796.7377380412352,109,160.27565180696388,121,69975.81979483723,51557.48771698896,0.0
4-2,2025-08-15,original,0.0,61,0.0,73,0.0,85,43.39744826872402,97,567.7020356590133,109,0.0,121,38953.71199653539,21923.396039796826,0.0
4-2,2025-08-16,original,0.0,61,0.0,73,0.0,85,18.859001432883428,97,518.8803073493076,109,0.0,121,38811.338253170776,21724.241166139254,0.0
4-2,2025-08-17,original,0.0,61,254.9979551693754,73,0.0,85,508.55452351347594,97,802.1872204384688,109,134.27306464299375,121,68209.76249563652,50613.46255474691,0.0
4-2,2025-08-18,original,0.0,61,0.0,73,0.0,85,532.3410015237367,97,779.6027833073387,109,116.6282256241119,121,67070.5041995935,50371.07170032419,0.0
4-2,2025-08-19,original,0.0,61,74.13832030565811,73,0.0,85,503.08053755987305,97,789.2224728238692,109,117.81861182905641,121,68239.42026547418,50839.66071570955,0.0
4-2,2025-08-20,original,0.0,61,263.7424383197723,73,0.0,85,507.03098663372094,97,786.5294049213335,109,195.35821137558298,121,68537.73413286728,51418.192005554,0.0
4-2,2025-08-21,original,0.0,61,391.9509029339853,73,0.0,85,443.8440653471007,97,821.3453045799977,109,216.9887241725179,121,72676.07422443276,53010.38224752397,0.0
4-2,2025-08-22,original,0.0,61,0.0,73,0.0,85,0.0,97,554.745589973277,109,0.0,121,38858.74399504762,21993.20188562601,0.0
4-2,2025-08-23,original,0.0,61,0.0,73,0.0,85,48.07251907302498,97,592.6011456822896,109,0.0,121,40018.69862576307,22388.763887657027,0.0
4-2,2025-08-24,original,0.0,61,331.47564257700253,73,0.0,85,540.9131288641187,97,859.4429200423292,109,204.35313215542067,121,72328.58444275636,52926.42028573969,0.0
4-2,2025-08-25,original,0.0,61,235.20942347476114,73,0.0,85,560.1157205844933,97,872.0791654027444,109,161.15686397230138,121,70134.04852564423,52153.052311068386,0.0
4-2,2025-08-26,original,0.0,61,367.6796445379631,73,0.0,85,606.2969678639788,97,845.1420470392137,109,161.70687727244706,121,74008.64201656365,53929.98707678816,0.0
4-2,2025-08-27,original,0.0,61,248.68243141120126,73,0.0,85,616.0554198662293,97,821.1669833407536,109,181.39993487721836,121,70981.54853350116,52501.37071298383,0.0
4-2,2025-08-28,original,0.0,61,244.72620392774604,73,0.0,85,603.5124354008863,97,803.451698412309,109,188.50779594653216,121,73319.09531515317,53539.13519999366,0.0
4-2,2025-08-29,original,0.0,61,0.0,73,0.0,85,88.61959516793573,97,595.9198207298878,109,0.0,121,41002.379335478734,22919.141073521307,0.0
4-2,2025-08-30,original,0.0,61,0.0,73,0.0,85,80.23471441010338,97,572.9385578193829,109,0.0,121,39201.87835016465,22369.79296744967,0.0
4-2,2025-08-31,original,0.0,61,329.72650062187233,73,0.0,85,555.0062993904721,97,824.8335104769644,109,202.43003492674018,121,71943.61057337027,52128.167945879824,0.0
4-2,2025-09-01,original,0.0,61,366.5213598230538,73,0.0,85,561.8177680901247,97,866.7146698714349,109,201.2091937551537,121,71376.1594991105,46845.89065938455,0.0
4-2,2025-09-02,original,0.0,61,358.31428687127345,73,0.0,85,466.541841054211,97,783.0708188817969,109,95.74782944528499,121,62043.14850808158,40539.839418252595,0.0
4-2,2025-09-03,original,0.0,61,286.8423868061037,73,0.0,85,386.3844064128034,97,768.5226662809447,109,66.86175912196427,121,59941.281365901035,39564.59814636126,0.0
4-2,2025-09-04,original,0.0,61,214.59369848321955,73,0.0,85,429.4091765782507,97,755.3298106218917,109,48.67479211221166,121,59961.40041423292,38914.36068254502,0.0
4-2,2025-09-05,original,0.0,61,0.0,73,0.0,85,214.22898069406546,97,597.2693074912397,109,0.0,121,40798.199990286616,20006.804762446613,0.0
4-2,2025-09-06,original,0.0,61,0.0,73,0.0,85,42.85506368019561,97,397.97460234774525,109,0.0,121,30552.272626337835,14448.411748634247,0.0
4-2,2025-09-07,original,0.0,61,0.0,73,0.0,85,468.76854256001945,97,756.7825808718335,109,62.02980296633439,121,58206.65585409028,37517.0532879066,0.0
4-2,2025-09-08,original,0.0,61,244.15646782444946,73,0.0,85,470.7643732874453,97,716.9980289667807,109,43.656959050196406,121,59426.953653321136,38769.0276844794,0.0
4-2,2025-09-09,original,0.0,61,288.0117316349035,73,0.0,85,512.0235950996853,97,711.3174097320109,109,23.1825838328773,121,63863.51176619268,40819.80834939214,0.0
4-2,2025-09-10,original,0.0,61,179.91950106594743,73,0.0,85,542.4686452078383,97,730.7654902802165,109,34.88344898003095,121,60822.87733471856,40234.22995335465,0.0
4-2,2025-09-11,original,0.0,61,392.9036940861065,73,0.0,85,581.2607736856927,97,723.6192834385159,109,28.87658519041065,121,65997.36082606995,42033.327619242875,0.0
4-2,2025-09-12,original,0.0,61,0.0,73,0.0,85,46.5735281357272,97,0.0,109,0.0,121,33393.51710275911,15436.177699792945,0.0
4-2,2025-09-13,original,0.0,61,0.0,73,0.0,85,0.0,97,0.0,109,0.0,121,30956.220753959486,14005.608662287117,0.0
4-2,2025-09-14,original,0.0,61,334.5499523493969,73,0.0,85,546.1959402701759,97,726.7158705283653,109,34.19693147796522,121,60783.159447707716,40114.74047277884,0.0
4-2,2025-09-15,original,0.0,61,528.343359607836,73,0.0,85,559.5596644914262,97,385.27359808909364,109,43.47093298564164,121,65640.69117212047,42309.672271954274,0.0
4-2,2025-09-16,original,0.0,61,424.27183880405505,73,0.0,85,545.564034504386,97,347.4527249421896,109,36.134544265913064,121,63213.101628300894,41835.01853318566,0.0
4-2,2025-09-17,original,0.0,61,517.0794604975229,73,0.0,85,519.5797521562515,97,346.99691434613106,109,24.49339594819253,121,65464.59664184614,42609.796269439015,0.0
4-2,2025-09-18,original,0.0,61,488.5185430854714,73,0.0,85,535.2071038142103,97,88.8520377360635,109,43.71832109622483,121,65289.984960616726,41950.424633965566,0.0
4-2,2025-09-19,original,0.0,61,0.0,73,0.0,85,28.86906023779885,97,0.0,109,0.0,121,31985.431303668003,14607.58768274396,0.0
4-2,2025-09-20,original,0.0,61,0.0,73,0.0,85,117.7543431460484,97,0.0,109,0.0,121,32313.795394103123,14592.427512844552,0.0
4-2,2025-09-21,original,0.0,61,552.0250964935303,73,0.0,85,600.196000635309,97,0.0,109,33.29566035522191,121,67486.61355093833,44627.043400038485,0.0
4-2,2025-09-22,original,0.0,61,555.3047896387476,73,0.0,85,599.7000081005884,97,0.0,109,26.568460086780988,121,66103.86943678613,43813.32252076995,0.0
4-2,2025-09-23,original,0.0,61,536.8626810204892,73,0.0,85,586.138662165536,97,0.0,109,45.86953153214927,121,66812.73248378077,43842.3105267807,0.0
4-2,2025-09-24,original,0.0,61,482.56786609970106,73,0.0,85,638.136841089299,97,0.0,109,54.20388771803823,121,67504.06970426539,44580.511218809304,0.0
