branch,issue_hour,month,event_count,position_count,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_forecast_minus_actual,peak_threshold_yuan_per_kwh,peak_mae_yuan_per_kwh,max_absolute_error_yuan_per_kwh,forecast_floor_trigger_rate,fallback_event_count
4-2,6,9,30,4320,0.0701571186311545,0.09762160290055118,0.03948943046530704,1.24905,0.18431714713842318,0.43606506413536894,0.0,0
4-2,6,10,31,4464,0.054446135945174494,0.0698166194323515,0.0008012034917102588,1.24905,0.08492999958022444,0.2674084385500978,0.0,0
4-2,6,11,30,4320,0.05318993269011745,0.06783975339262523,-0.009486644457575511,1.24905,0.07585473524259706,0.2385361749176339,0.0,0
4-2,6,12,31,4428,0.05610980804849616,0.0804064005041905,-0.025739436195105075,1.24905,0.09712754109643237,0.36235361969020374,0.0,0
4-2,12,2,28,4032,0.05845880030656816,0.0826116309041517,0.0068065259519344765,1.24905,0.08614868568303277,0.31312903449411955,0.0,0
4-2,12,3,31,4464,0.049469071737951474,0.07200945628488145,-0.012173730792045544,1.24905,0.032802466313010405,0.34438473368178846,0.0,0
4-2,12,4,30,4320,0.053319894942341725,0.07629432833304402,-0.006115010416027753,1.24905,0.05401956790830212,0.4403157826333697,0.0002314814814814815,0
4-2,12,5,31,4464,0.05532610437704813,0.0750593157891224,0.0022248503718510677,1.24905,0.08326656528574894,0.33539115926794316,0.0,0
4-2,12,6,30,4320,0.06422603751429506,0.08534810537637398,0.02533389479337257,1.24905,0.16401168221944215,0.36969137937761676,0.0,0
4-2,12,7,31,4464,0.06667917993851973,0.09744480151651026,-0.034073738462194,1.24905,0.13796303130589282,0.5744449252245072,0.0,0
4-2,12,8,31,4464,0.05958588806839604,0.08600467031847997,-0.016410786577082382,1.24905,0.11218585847556525,0.43377348069102517,0.0,0
4-2,12,9,30,4320,0.07569536771482248,0.10510730514581262,0.03347718331815909,1.24905,0.2142007984237746,0.4757404857851719,0.0,0
