date,scenario_count,plan_energy_kwh,plan_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_initial_soc_kwh,dp_terminal_soc_kwh,dp_charge_kwh,dp_discharge_kwh,dp_unused_kwh,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_convexity_violation,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_unused_kwh,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-09-18,30,65459.56407176159,41143.71436523285,140.71643864246414,684.4819316661485,41828.196296899,1695.7178132545037,1667.2965799321134,20066.76868649729,16279.661746052954,2857.1224532930632,1.0231815394945443e-12,7.105427357601002e-15,2.183142555622908e-12,140.71643864246414,684.4819316661485,41828.196296899,1695.7178132545037,1667.2965799321134,20066.768686497293,16279.661746052952,2857.1224532930646,0.0,9.094947017729282e-13
2025-09-19,30,31532.63755029845,17420.734190427807,192.59970263074803,757.1323953477133,18177.866585775522,1667.2965799321134,1536.1036733805,14827.3880815385,12128.257961942638,12924.754816666664,8.029132914089132e-13,1.1368683772161603e-13,2.9105606813573104e-12,192.59970263074803,757.1323953477133,18177.866585775522,1667.2965799321134,1536.1036733805,14827.388081538498,12128.25796194264,12924.754816666666,0.0,8.100187187665142e-13
2025-09-20,30,31933.043850950206,17627.69143648958,243.35939772303095,1099.5704236010206,18727.2618600906,1536.1036733805,1539.0891010689725,15384.586712339957,12458.828352075743,13605.211155075693,9.521272659185342e-13,1.1368683772161603e-13,2.183142555622908e-12,243.35939772303095,1099.5704236010206,18727.2618600906,1536.1036733805,1539.0891010689725,15384.586712339957,12458.828352075745,13605.211155075693,0.0,9.094947017729282e-13
2025-09-21,30,67329.73366702913,42735.55394648186,0.0,0.0,42735.55394648186,1539.0891010689725,1804.5796070985077,17577.96632156221,13999.21126503881,5463.491127172387,8.100187187665142e-13,5.684341886080802e-14,1.4557244298885053e-12,0.0,0.0,42735.55394648186,1539.0891010689725,1804.5796070985077,17577.966321562217,13999.211265038808,5463.491127172386,0.0,8.846257060213247e-13
2025-09-22,30,65480.083643375634,41309.6182183201,8.418038215370347,41.547227611960345,41351.16544593206,1804.5796070985077,1241.5528943909878,19571.077046016806,16359.296448710382,1662.701200951244,1.0231815394945443e-12,1.1368683772161603e-13,2.9105606813573104e-12,8.418038215370347,41.547227611960345,41351.16544593206,1804.5796070985077,1241.5528943909878,19571.077046016806,16359.29644871038,1662.7012009512423,0.0,9.094947017729282e-13
2025-09-23,30,66522.34145487292,41878.068148776656,580.4353599412847,3722.370420752459,45600.43856952911,1241.5528943909878,1484.0936946490583,20535.467000288496,16415.441550001422,866.1357811938112,9.308109838457312e-13,5.684341886080802e-14,2.9096725029376103e-12,580.4353599412846,3808.2627489569904,45686.33089773365,1241.5528943909878,1484.0936946490583,20535.467000288496,16415.441550001426,866.1357811938116,0.0,9.094947017729282e-13
2025-09-24,30,67421.99317278371,42679.911919000275,91.9274213830028,448.49393831441023,43128.40585731468,1484.0936946490583,2028.6023673639552,21067.68771900705,16574.769246952306,1957.7770221119765,9.343636975245317e-13,2.842170943040401e-14,2.183142555622908e-12,91.9274213830028,448.49393831441023,43128.40585731468,1484.0936946490583,2028.6023673639552,21067.68771900705,16574.769246952303,1957.7770221119758,0.0,8.411049634560186e-13
2025-09-25,30,66603.32166570297,42171.004298256674,15.371666666667238,103.49743166667052,42274.501729923344,2028.6023673639552,1543.6281690547169,19022.907740727922,15845.032048467932,3105.368740109666,9.734435479913373e-13,1.4210854715202004e-14,2.9096725029376103e-12,15.371666666666556,103.49743166666593,42274.50172992334,2028.6023673639552,1543.6281690547169,19022.907740727926,15845.032048467936,3105.3687401096663,0.0,9.094947017729282e-13
2025-09-26,30,32879.72817891193,18277.852174361688,0.0,0.0,18277.852174361688,1543.6281690547169,1934.3517818324765,15171.703122608345,11937.428277812778,11951.209834116362,7.389644451905042e-13,5.684341886080802e-14,2.9105606813573104e-12,0.0,0.0,18277.852174361688,1543.6281690547169,1934.3517818324765,15171.703122608345,11937.428277812778,11951.209834116364,0.0,9.094947017729282e-13
2025-09-27,30,31676.156131275606,17435.68015691894,1000.8742194891117,5606.9952813550535,23042.675438273996,1934.3517818324765,1200.0,14927.626075862907,12752.293725098181,12700.395749999998,9.094947017729282e-13,1.1368683772161603e-13,2.9105606813573104e-12,1000.8742194891115,5704.311901685702,23139.992058604643,1934.3517818324765,1200.0,14927.626075862909,12752.293725098185,12700.39575,0.0,9.094947017729282e-13
