target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-06-07,1302.8638560402212,22459.293692035273,36476.52759330951,20831.701487820814,30,Optimal,0.35758130000249366,22459.29369203528,0.0,0,12348,0,,False,False,1.1368683772161603e-13,1.9895196601282805e-12,-0.0,0.0,1200.0,10800.0,833.3333333333334,781.4000255185189,formal_output
2025-06-08,1883.3793101331507,56336.726137119906,84650.44450768176,53668.274326653496,30,Optimal,0.5631850999998278,56336.72613711991,2.7284841053187847e-11,0,13318,0,,False,False,5.936584557275637e-12,2.7284841053187847e-11,0.0,-2.3447910280083306e-11,1199.9999999999993,10800.000000000027,833.3333333333334,833.3333333333334,formal_output
2025-06-09,2798.21382742477,51758.40836810588,77966.11201599223,49136.83759947183,30,Optimal,0.5969804000014847,51758.408368105884,0.0,0,12846,0,,False,False,2.2737367544323206e-13,1.2505552149377763e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-10,2575.302272778019,51982.27585680352,78047.95906409805,49381.62406959596,30,Optimal,0.45681940000213217,51982.27585680349,0.0,0,13393,0,,False,False,2.2737367544323206e-13,2.6147972675971687e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-11,2951.7328971651477,51688.95142419057,77692.80192377076,49116.05768771282,30,Optimal,0.5798087999974086,51688.9514241906,0.0,0,13640,0,,False,False,4.547473508864641e-13,9.947598300641403e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-12,2374.288518148293,55561.97669093393,82750.34139789734,52838.82024034693,30,Optimal,0.6747157999998308,55561.97669093398,0.0,0,15415,0,,False,False,2.2737367544323206e-13,3.785416424761934e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-13,3321.6309558811054,21804.893084744817,34621.07328307038,20146.210085819643,30,Optimal,0.3097708999994211,21804.893084744792,0.0,0,11398,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-14,2516.381421559192,23230.62774305597,37019.63138228292,21639.090847005238,30,Optimal,0.3621536000027845,23230.627743055964,0.0,0,11767,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-15,2592.1245708927063,54067.75414337638,81038.31364263291,51344.17767218916,30,Optimal,0.6504800000002433,54067.75414337641,0.0,0,13050,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-16,3110.490011468222,53190.68315060438,79615.54843673081,50466.11049222792,30,Optimal,0.5051817999992636,53190.68315060438,0.0,0,12625,0,,False,False,2.2737367544323206e-13,1.4779288903810084e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-17,3092.9889522490603,53210.04983023479,79415.67374830713,50455.54867229859,30,Optimal,0.6372054999992542,53210.049830234784,0.0,0,13517,0,,False,False,2.2737367544323206e-13,1.8474111129762605e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-18,2398.3195642433866,54771.17664695535,81685.43425381285,52045.155532841876,30,Optimal,0.6141291999992973,54771.17664695533,0.0,0,14675,0,,False,False,2.2737367544323206e-13,2.5348612098241574e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-19,3348.988277996773,53392.75272761578,79548.66348402522,50662.417579813715,30,Optimal,0.6032307000023138,53392.75272761577,0.0,0,13236,0,,False,False,2.2737367544323206e-13,3.382183422218077e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-20,3232.7449743746934,21720.551953355032,34545.633171780515,20296.682043248158,30,Optimal,0.2701591000004555,21720.551953355018,0.0,0,10894,0,,False,False,2.2737367544323206e-13,1.1226575225009583e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-21,3504.9423411524253,20473.722386386144,32745.374250591783,19137.892017283746,30,Optimal,0.2604858000013337,20473.72238638614,0.0,0,10867,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-22,3231.9802235777343,49192.99427908894,73003.18019025534,46352.75701682077,30,Optimal,0.5503939000009268,49192.9942790889,0.0,0,13554,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-23,3209.652069955606,49106.861641570176,73449.38045503708,46332.321762641084,30,Optimal,0.6331222000007983,49106.86164157017,0.0,0,13575,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-24,2695.749119360983,49697.34377350559,74035.98799000069,46925.81762528814,30,Optimal,0.5907057999975223,49697.34377350559,0.0,0,13034,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-25,2263.9416474102454,54501.98683223003,80912.33576466075,51231.27561705011,30,Optimal,0.7123006000001624,54501.986832230024,0.0,0,15491,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-26,3093.46101210293,53034.991584721305,78287.86601132978,49673.80510769811,30,Optimal,0.6108230999998341,53034.99158472127,0.0,0,14206,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-27,3216.8555654583706,20520.68834168583,33161.41136630828,18933.737484181,30,Optimal,0.2945179000016651,20520.688341685804,0.0,0,11724,0,,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-28,3357.8191651358834,19442.56471354699,31820.291895958704,18206.907545783924,30,Optimal,0.2719423000016832,19442.56471354699,0.0,0,11129,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-29,2665.268170341284,50607.35545916092,73851.92031448171,47035.86113278187,30,Optimal,0.4733233000006294,50607.35545916089,0.0,0,14226,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-06-30,3307.553065048834,50398.80522713377,73904.14649621841,46679.06707281145,30,Optimal,0.5979229000004125,50398.80522713375,0.0,0,13001,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-07-01,2838.5489478165887,51221.962678706754,75375.14603083863,47490.64385115769,30,Optimal; tiebreak=Optimal,1.7281440000006114,1112534.923051467,0.0,0,13197,0,,True,False,1.1368683772161603e-13,2.1032064978498966e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-07-02,1200.0,54569.24591289671,82152.24105786245,51759.55927077182,30,Optimal,0.6359885999991093,54569.24591289672,9.094947017729282e-12,0,14778,0,,False,False,2.6832758237560483e-11,1.5305090528272558e-11,0.0,-6.59383658785373e-12,1199.999999999991,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-07-03,1620.3095801907716,53470.39311833151,80567.32723447698,51070.136767255135,30,Optimal,0.5961502999998629,53470.393118331536,0.0,0,13486,0,,False,False,3.183231456205249e-12,4.447997525858227e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-07-04,2337.5110516904815,19010.185586270924,32145.699818426307,17989.021411611262,30,Optimal,0.26628969999728724,19010.185586270913,0.0,0,11121,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-07-05,1200.0,26733.171267364465,42983.170607659136,25366.367480062683,30,Optimal,0.29881680000107735,26733.171267364458,0.0,0,11836,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,-0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
