date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-10-04,8656.580179406332,5953.999301004239,8656.580179406332,5953.999301004239,14703.051366359072,0.0,0.0,0.0,142.32529874968048,513.7918739046793,15216.843240263752,15216.843240263752,142.32529874968048,513.7918739046122,15216.843240263684,27730.450246060696,27730.450246060696,1,9.983125437429408e-13,1.4210854715202004e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-10-05,5953.999301004239,7233.947632314228,5953.999301004239,7233.947632314228,39922.640682223835,0.0,0.0,0.0,0.0,4.937298880847152e-11,39922.640682223886,39922.64068222389,0.0,0.0,39922.640682223835,64473.58496893958,64473.58496893958,1,1.0107470416187425e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-10-06,7233.947632314228,7946.490353672934,7233.947632314228,7946.490353672934,38369.909316328674,0.0,0.0,0.0,409.8974525039181,2763.7472076375666,41133.65652396624,41133.656523966245,409.89745250391815,2829.3145334329024,41199.223849761576,62139.76414701022,62139.76414701022,1,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-10-07,7946.490353672934,8832.432002429261,7946.490353672934,8832.432002429261,39530.3217271044,0.0,0.0,0.0,0.0,5.666078539690034e-11,39530.321727104456,39530.321727104456,0.0,0.0,39530.3217271044,64119.736297498515,64119.736297498515,1,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-10-08,8832.432002429261,8612.73473733491,8832.432002429261,8612.73473733491,38998.19116401887,0.0,0.0,0.0,0.0,5.517375423202963e-11,38998.19116401893,38998.19116401892,0.0,0.0,38998.19116401887,62836.70198650728,62836.70198650728,1,9.983125437429408e-13,7.105427357601002e-15,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-10-09,8612.73473733491,8600.623425447968,8612.73473733491,8600.623425447968,39818.459845528894,0.0,0.0,0.0,0.0,5.054730980308397e-11,39818.459845528945,39818.45984552894,0.0,0.0,39818.459845528894,64264.36613739672,64264.36613739672,1,1.0018652574217413e-12,1.4210854715202004e-14,0.0,9.023892744153272e-13,2.183142555622908e-12
2025-10-10,8600.623425447968,8606.17760517202,8600.623425447968,8606.17760517202,16770.550372624417,0.0,0.0,0.0,0.0,2.984831104502206e-11,16770.550372624446,16770.55037262445,0.0,0.0,16770.550372624417,31899.42786767793,31899.42786767793,1,9.947598300641403e-13,7.105427357601002e-15,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-10-11,8606.17760517202,8036.604486475731,8606.17760517202,8036.604486475731,16312.448353253905,0.0,0.0,0.0,0.0,6.23378400010921e-11,16312.448353253967,16312.448353253967,0.0,0.0,16312.448353253905,31343.12475156343,31343.12475156343,1,9.414691248821327e-13,1.4210854715202004e-14,0.0,8.473222123939195e-13,2.183142555622908e-12
2025-10-12,8036.604486475731,8187.378421699869,8036.604486475731,8187.378421699869,39891.9987683556,0.0,0.0,0.0,0.0,6.490337023379311e-11,39891.99876835567,39891.998768355676,0.0,0.0,39891.9987683556,64092.46185410983,64092.46185410983,1,9.592326932761353e-13,2.842170943040401e-14,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-10-13,8187.378421699869,8759.943718446204,8187.378421699869,8759.943718446204,40322.23603184646,0.0,0.0,0.0,0.0,6.190554202589737e-11,40322.23603184653,40322.23603184652,0.0,0.0,40322.23603184646,64984.287196927864,64984.287196927864,1,9.343636975245317e-13,5.684341886080802e-14,0.0,8.597567102697212e-13,1.4557244298885053e-12
