date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-04-11,10145.593317083176,10110.31076391859,10145.593317083176,10110.31076391859,14184.644823197958,-11.337131230779079,0.0,24.297323683624256,0.0,3.726427710848412e-11,14173.307691967215,14173.307691967213,0.0,0.0,14173.307691967178,28484.561177330404,28460.263853646786,4,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-12,10110.31076391859,9941.48314734454,10110.31076391859,9941.48314734454,14180.992842945336,0.0,0.0,0.0,0.0,4.309620837972261e-11,14180.99284294538,14180.99284294538,0.0,0.0,14180.992842945336,28519.201820024035,28519.201820024035,4,1.0103029524088925e-12,2.842170943040401e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-13,9941.48314734454,10073.639823405396,9941.48314734454,10073.639823405396,35250.78353491861,127.02554162488494,145.4013026189101,48.24108969707123,0.0,6.652520867511669e-11,35377.80907654356,35377.80907654356,0.0,0.0,35377.8090765435,58549.6529621121,58646.81317503394,4,9.734435479913373e-13,5.684341886080802e-14,0.0,8.881784197001252e-13,2.183142555622908e-12
2025-04-14,10073.639823405396,9786.833932211915,10073.639823405396,9786.833932211915,35657.450655581335,-319.2593429828079,0.0,908.547427600487,0.0,4.605760350884225e-11,35338.191312598574,35338.191312598574,0.0,0.0,35338.19131259853,59291.26077019562,58382.71334259514,4,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-15,9786.833932211915,9642.186508641438,9786.833932211915,9642.186508641438,34310.69023885946,312.27116831813106,283.3158217987635,782.145973533655,129.18722433740902,562.9584790330871,35185.91988621068,35185.91988621068,129.18722433740948,817.9589337444008,35440.92034092199,57396.837386458195,56898.0072347233,4,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-16,9642.186508641438,9556.921002696467,9642.186508641438,9556.921002696467,34495.42524706084,2163.0464677606965,2256.853478375652,0.0,0.0,1.0282982720877243e-10,36658.47171482164,36658.471714821644,0.0,0.0,36658.471714821535,57247.39738143509,59504.25085981074,4,9.983125437429408e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-17,9556.921002696467,10096.386733762722,9556.921002696467,10096.386733762722,35363.6235880297,-7.2758386982361,99.46240044214176,116.45413303591943,0.0,7.941866847493984e-11,35356.347749331544,35356.347749331544,0.0,0.0,35356.347749331464,58822.15092377059,58805.15919117682,4,9.978684545330907e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-18,10096.386733762722,10204.185312337691,10096.386733762722,10204.185312337691,13703.920721930252,-119.65283555939135,43.30869245146967,350.43955739296064,0.0,2.429603207509956e-11,13584.267886370884,13584.267886370886,0.0,0.0,13584.26788637086,27742.807843832114,27435.676978890624,4,7.958078640513122e-13,2.842170943040401e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-19,10204.185312337691,9625.295748769053,10204.185312337691,9625.295748769053,13105.831798035299,80.98175484998869,84.27765543605827,76.77244489752769,0.0,3.5015235155810843e-11,13186.813552885322,13186.813552885322,0.0,0.0,13186.813552885287,26974.175844568017,26981.681055106543,4,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-20,9625.295748769053,10057.121706365557,9625.295748769053,10057.121706365557,34374.29436478784,17.97649100329393,93.93996924787189,74.41858894302413,0.0,6.727554335839158e-11,34392.270855791205,34392.2708557912,0.0,0.0,34392.27085579114,57193.87421296252,57213.39559326736,4,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-21,10057.121706365557,9483.89600074103,10057.121706365557,9483.89600074103,34220.000661182145,-374.7437511046455,0.0,1038.2439937683425,82.3197400849734,371.7272397545937,34216.9841498321,34216.9841498321,82.3197400849734,371.72723975453846,34216.98414983204,57258.39483456026,56220.150840791925,4,8.57980353430321e-13,5.684341886080802e-14,0.0,8.597567102697212e-13,2.9096725029376103e-12
2025-04-22,9483.89600074103,9548.46223563899,9483.89600074103,9527.326773500108,32846.86233835064,693.2548325840376,379.001218652611,0.0,607.9001165454929,2392.218732185303,35932.33590311999,35932.33590311998,588.878200620501,3909.1927586736756,37449.30992960836,54800.06186065311,55179.06307930573,4,9.983125437429408e-13,1.1368683772161603e-13,0.0,8.970602038971265e-13,2.9105606813573104e-12
2025-04-23,9548.46223563899,9963.546369976752,9527.326773500108,9963.546369976752,33398.4390276886,151.1824707426387,396.28530633766286,179.73701272853128,0.0,8.897572745247827e-11,33549.62149843133,33549.62149843133,0.0,0.0,33549.62149843124,55879.451745937,56096.00003954613,4,9.71667191151937e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-24,9963.546369976752,9910.96930481327,9963.546369976752,9910.96930481327,33335.69943718922,-213.85747163772353,0.0,496.7546540116848,0.0,6.634641935843177e-11,33121.84196555156,33121.84196555156,0.0,0.0,33121.841965551495,55767.517845849616,55270.76319183793,4,9.983125437429408e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-04-25,9910.96930481327,9705.129510030318,9910.96930481327,9705.129510030318,12830.49282021149,-95.27090978203397,0.0,195.33070591126045,0.0,4.520221530412982e-11,12735.221910429502,12735.2219104295,0.0,0.0,12735.221910429456,26566.992451859955,26371.661745948695,4,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-26,9705.129510030318,9363.102051379965,9705.129510030318,9363.102051379965,12860.908367533582,62.48614715059089,42.679683885957104,0.0,0.0,3.7720854162426324e-11,12923.39451468421,12923.39451468421,0.0,0.0,12923.394514684172,26552.426072061284,26595.105755947243,4,8.526512829121202e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-04-27,9363.102051379965,9734.67756354688,9363.102051379965,9626.992869521431,31957.647742129753,446.1775779769919,244.43573873676058,0.0,189.56920376656805,911.0455254899484,33314.87084559669,33314.8708455967,92.65297914366268,586.637422776927,32990.462742883676,52787.88743892133,53032.323177658094,4,9.094947017729282e-13,1.1368683772161603e-13,0.0,8.810729923425242e-13,2.9105606813573104e-12
2025-04-28,9734.67756354688,9658.594933148961,9626.992869521431,9586.10792281664,33353.58504250205,5940.368692272278,4649.3810496352735,0.0,309.6842219428454,1556.1891664534874,40850.14290122781,40850.142901227824,341.3621372666597,2193.214726220106,41487.16846099443,55051.5201779427,59700.90122757798,4,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-29,9658.594933148961,9825.826949199885,9586.10792281664,9825.826949199885,34642.38530479962,-262.9342063431484,0.0,849.5483075392094,0.0,8.786359995127669e-11,34379.451098456564,34379.45109845657,0.0,0.0,34379.45109845648,57743.720283820876,56894.171976281665,4,9.841016890277388e-13,2.842170943040401e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-04-30,9825.826949199885,9707.726096254364,9825.826949199885,9707.726096254364,33268.05041178801,-165.36589109980102,0.0,257.7436137703003,0.0,7.389664724577473e-11,33102.684520688286,33102.684520688286,0.0,0.0,33102.68452068821,54929.33889017933,54671.595276409025,4,9.663381206337363e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-05-01,9707.726096254364,9070.671170047626,9707.726096254364,9070.671170047626,32989.709674514124,444.30508463810713,258.17602714462964,261.1444723566034,1754.4745957440473,10707.368369827596,44141.383128979825,44141.383128979825,1754.4745957440464,11160.359835702897,44594.37459485513,54953.88115434833,54950.91270913636,4,1.0125233984581428e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-02,9070.671170047626,9223.597234407383,9070.671170047626,9223.597234407383,13571.320880803365,596.6912643796609,347.7534145413442,0.0,2528.3240281253356,13157.39215907136,27325.404304254385,27325.404304254385,1895.7532096253376,11202.577838743233,25370.589983926257,27775.249948578003,28123.003363119347,4,1.0231815394945443e-12,1.4210854715202004e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-03,9223.597234407383,9528.856506674063,9223.597234407383,9528.856506674063,15655.978172875839,0.0,0.0,0.0,1.3119772584836227,5.093095717475559,15661.071268593314,15661.071268593314,1.3119772584836227,5.093095717433423,15661.071268593272,30093.15136105445,30093.15136105445,4,8.206768598029157e-13,1.1368683772161603e-13,0.0,8.810729923425242e-13,2.9105606813573104e-12
2025-05-04,9528.856506674063,9288.339074196398,9528.856506674063,9288.339074196398,36664.01502826609,-344.29260499226064,0.0,1492.7428900539926,0.0,7.24263373719225e-11,36319.7224232739,36319.722423273895,0.0,0.0,36319.72242327383,59368.840076375665,57876.09718632167,4,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-05,9288.339074196398,10446.67680178259,9288.339074196398,10446.67680178259,37477.54377689271,282.55876855096045,331.5250129660453,0.0,0.0,8.273777840628326e-11,37760.10254544375,37760.10254544374,0.0,0.0,37760.10254544367,60290.21160082267,60621.736613788715,4,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-06,10446.67680178259,10346.196552607582,10446.67680178259,10346.196552607582,36286.28763570902,258.0648646720694,305.0616494058085,0.0,0.0,7.095515291988264e-11,36544.35250038117,36544.35250038117,0.0,0.0,36544.352500381094,57872.845868466626,58177.90751787244,4,1.0125233984581428e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-07,10346.196552607582,9536.731736498125,10346.196552607582,9536.731736498125,36340.02358655513,299.0153908412968,151.01670103408196,0.0,0.0,7.549069058754299e-11,36639.0389773965,36639.0389773965,0.0,0.0,36639.03897739643,57799.80972683325,57950.82642786733,4,9.725553695716371e-13,2.842170943040401e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-08,9536.731736498125,10283.32986687424,9536.731736498125,10283.32986687424,38089.15048625726,-197.749507744915,0.0,883.1619087068199,0.0,8.88298425927303e-11,37891.400978512436,37891.40097851243,0.0,0.0,37891.40097851235,61091.96123044533,60208.799321738516,4,9.974243653232406e-13,5.684341886080802e-14,0.0,8.979483823168266e-13,2.9105606813573104e-12
2025-05-09,10283.32986687424,10069.929847424675,10283.32986687424,10069.929847424675,14844.855754851931,0.0,0.0,0.0,7.975611393028089,30.482786744203796,14875.338541596135,14875.338541596135,7.975611393028089,30.482786744153355,14875.338541596084,28615.471822005977,28615.471822005977,4,8.464340339742193e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-10,10069.929847424675,9638.395205085313,10069.929847424675,9638.395205085313,15279.52667295688,37.46579720961503,27.447162161164385,0.0,0.0,4.9285240388829977e-11,15316.992470166544,15316.992470166544,0.0,0.0,15316.992470166495,29001.864172116024,29029.31133427719,4,9.032774528350274e-13,1.1368683772161603e-13,0.0,8.131273432354647e-13,2.9105606813573104e-12
2025-05-11,9638.395205085313,10398.004653954513,9638.395205085313,10398.004653954513,38772.62793419738,-248.44360586800033,0.0,1095.2401811634763,9.283054642207958,62.58171287052134,38586.7660411999,38586.7660411999,9.283054642208072,62.58171287044571,38586.76604119982,62608.57421185796,61513.33403069449,4,9.725553695716371e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-12,10398.004653954513,10770.0,10398.004653954513,10800.0,37342.077101688126,-90.2164056520811,241.17499670788,1158.9252260689595,0.0,7.253050093858349e-11,37251.86069603612,37251.86069603612,0.0,0.0,37251.86069603605,59653.12320764421,58735.37297828312,4,9.521272659185342e-13,1.1368683772161603e-13,0.0,8.810729923425242e-13,2.9105606813573104e-12
2025-05-13,10770.0,10543.117848189793,10800.0,10543.117848189793,36743.91324763803,-43.909574569010765,0.0,175.79669379928617,0.0,5.88764457187807e-11,36700.00367306908,36700.003673069084,0.0,0.0,36700.00367306902,58951.76576677964,58775.969072980355,4,9.592326932761353e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-05-14,10543.117848189793,10316.128474556755,10543.117848189793,10316.128474556755,36346.07939496439,-46.269713491372855,0.0,121.32650548257102,0.0,6.903330662666463e-11,36299.80968147308,36299.80968147308,0.0,0.0,36299.809681473016,58070.29178532741,57948.96527984484,4,9.601208716958354e-13,1.1368683772161603e-13,0.0,8.641976023682219e-13,2.9105606813573104e-12
2025-05-15,10316.128474556755,10340.0,10316.128474556755,10582.12515490481,36177.677063718496,-247.78017091320024,0.0,996.893969212088,0.0,6.3771878222596e-11,35929.89689280536,35929.896892805365,0.0,0.0,35929.89689280529,57958.05321272665,56961.15924351456,4,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
