date,issue_hour,kind,initial_soc_kwh,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_delta_product_kwh2,max_simultaneous_product_kwh2,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
2025-07-16,6,rolling,9618.795602319646,47311.67836302189,30,Optimal,0.4450873999885516,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11217,0,
2025-07-16,12,rolling,8616.517820780744,48773.454327985375,30,Optimal,0.47558139999455307,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11522,0,
2025-07-16,18,rolling,10558.642073458797,45227.33405326875,30,Optimal,0.35139779999735765,False,False,1.7053025658242404e-12,2.6290081223123707e-12,0.0,0.0,0.0,11446,0,
2025-07-17,0,original,10253.154962325872,47800.00262163488,30,Optimal,0.6462162000098033,False,False,3.410605131648481e-12,4.661160346586257e-12,0.0,0.0,0.0,12691,0,
2025-07-17,6,rolling,9755.150580224667,45288.69363674226,30,Optimal,0.5104510000091977,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,3.410605131648481e-13,11183,0,
2025-07-17,12,rolling,7173.168651950049,41597.2771161268,30,Optimal,0.262393199998769,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,11330,0,
2025-07-17,18,rolling,10254.201248371146,29919.253161339537,30,Optimal,0.2565136000048369,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,3.410605131648481e-13,10411,0,
2025-07-18,0,original,9862.81739546395,23575.619812931953,30,Optimal,0.3327432000078261,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10605,0,
2025-07-18,6,rolling,4111.825937119972,25725.88118777578,30,Optimal,0.3380934000015259,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-13,10673,0,
2025-07-18,12,rolling,4624.89653,23896.056347825717,30,Optimal,0.2828082999913022,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,10965,0,
2025-07-18,18,rolling,10666.533692780273,21675.881727682412,30,Optimal,0.28306239999074023,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,10891,0,
2025-07-19,0,original,10765.186381469935,22569.65312942322,30,Optimal,0.3057267999975011,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,10507,0,
2025-07-19,6,rolling,3448.980337379435,27630.046702562257,30,Optimal,0.3391311000013957,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-13,10525,0,
2025-07-19,12,rolling,3900.0,31782.55513779651,30,Optimal,0.4168567000015173,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11305,0,
2025-07-19,18,rolling,10687.12626073469,37677.96170071249,30,Optimal,0.4114361999963876,False,False,1.1368683772161603e-13,2.7533531010703882e-12,0.0,0.0,0.0,11834,0,
2025-07-20,0,original,9899.67629002444,49803.61903748862,30,Optimal,0.6563536000030581,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13319,0,
2025-07-20,6,rolling,10059.50925925926,49086.986066432444,30,Optimal,0.48749930001213215,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11678,0,
2025-07-20,12,rolling,8420.0,50016.435259742255,30,Optimal,0.424328000008245,False,False,2.2737367544323206e-13,1.9468870959826745e-12,0.0,0.0,0.0,11653,0,
2025-07-20,18,rolling,10706.081791132496,45962.30279647089,30,Optimal,0.4255717999913031,False,False,1.3312018154465477e-11,9.094947017729282e-12,0.0,0.0,7.478462293875057e-13,11663,0,
2025-07-21,0,original,10493.490441087968,48959.392871158365,30,Optimal,0.7590084999974351,False,False,2.0463630789890885e-12,2.3732127374387346e-12,0.0,0.0,0.0,14217,0,
2025-07-21,6,rolling,9606.717642853118,48419.15882822393,30,Optimal,0.4408008000027621,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.9326762412674725e-12,11449,0,
2025-07-21,12,rolling,8095.049208286891,50041.776721295326,30,Optimal,0.46799530000134837,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1.9326762412674725e-12,11889,0,
2025-07-21,18,rolling,10560.177654892483,44735.995217493015,30,Optimal,0.42324819999339525,False,False,2.2737367544323206e-13,2.7036151095671812e-12,0.0,0.0,1.9326762412674725e-12,11518,0,
2025-07-22,0,original,10243.456355597604,48665.339631134775,30,Optimal,0.6844321000098716,False,False,3.9404035589996056e-11,1.1368683772161603e-11,0.0,0.0,1.8189894035458565e-12,13220,0,
2025-07-22,6,rolling,9327.652595197693,50098.05853708255,30,Optimal,0.5123156000045128,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.5916157281026244e-12,11559,0,
2025-07-22,12,rolling,8166.596534691273,49242.41075204393,30,Optimal,0.41633229999570176,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1.8189894035458565e-12,11791,0,
2025-07-22,18,rolling,10800.0,45155.17217507865,30,Optimal,0.387366099996143,False,False,2.9558577807620168e-12,1.3940848475613166e-11,0.0,0.0,1.8189894035458565e-12,12209,0,
2025-07-23,0,original,10167.174091408593,50278.10847427285,30,Optimal,0.6558879999938654,False,False,1.2611280908458866e-09,1.401076588081196e-09,0.0,0.0,1.4375759841792992e-09,13097,0,
2025-07-23,6,rolling,10015.749306724003,48881.22404099452,30,Optimal,0.531643800000893,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.5973000699887052e-09,12662,0,
2025-07-23,12,rolling,7377.093214451044,50240.04165986609,30,Optimal,0.39740850000816863,False,False,2.2737367544323206e-13,2.2737367544323206e-12,0.0,0.0,1.2611280908458866e-09,11570,0,
2025-07-23,18,rolling,10768.538213629516,47169.892794430125,30,Optimal,0.3649860999867087,False,False,1.1368683772161603e-12,8.597567102697212e-12,0.0,0.0,3.637978807091713e-12,11422,0,
2025-07-24,0,original,10218.578389867916,50619.277440680955,30,Optimal,0.6028232999960892,False,False,3.672084858408198e-11,1.793409865058493e-11,0.0,0.0,1.8189894035458565e-12,12852,0,
2025-07-24,6,rolling,9497.017138647267,47164.23397240477,30,Optimal,0.44469849999586586,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11182,0,
2025-07-24,12,rolling,8190.0,42130.31296765222,30,Optimal,0.26461479999125004,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,11485,0,
2025-07-24,18,rolling,10263.304223992945,30051.72190020148,30,Optimal,0.25668880000011995,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10110,0,
2025-07-25,0,original,10447.57818751708,23077.87747600998,30,Optimal,0.3238746999995783,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10406,0,
2025-07-25,6,rolling,3494.799514693669,25588.30819165128,30,Optimal,0.38133200000447687,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-13,10693,0,
2025-07-25,12,rolling,5860.0,23946.386840266307,30,Optimal,0.27922789999865927,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10479,0,
2025-07-25,18,rolling,10715.131003087137,21475.19233338552,30,Optimal,0.29174200000124983,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10497,0,
