date,t,g0_kwh,geff_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_soc_kwh,ana_charge_kwh,ana_discharge_kwh,ana_emergency_kwh,ana_unused_kwh,ana_soc_kwh
2025-09-26,76,0.0,0.0,699.8287333333337,0.0,4.547473508864641e-13,0.0,5023.39612,0.0,0.0,0.0,699.8287333333333,10800.0
2025-09-26,77,0.0,0.0,713.1550333333336,0.0,1.1368683772161603e-13,0.0,5665.2356500000005,0.0,0.0,0.0,713.1550333333334,10800.0
2025-09-26,78,0.0,0.0,739.4883333333331,0.0,0.0,1.1368683772161603e-13,6330.77515,0.0,0.0,0.0,739.4883333333332,10800.0
2025-09-26,79,0.0,0.0,757.4734999999995,0.0,0.0,3.410605131648481e-13,7012.5013,0.0,0.0,0.0,757.4734999999998,10800.0
2025-09-26,80,0.0,0.0,710.7290499999999,0.0,0.0,1.1368683772161603e-13,7652.157445,0.0,0.0,0.0,710.72905,10800.0
2025-09-26,81,0.0,0.0,641.7620833333331,0.0,0.0,2.2737367544323206e-13,8229.74332,0.0,0.0,0.0,641.7620833333333,10800.0
2025-09-26,82,0.0,0.0,566.9518666666671,0.0,0.0,81.50103333333288,8740.0,0.0,0.0,0.0,648.4529,10800.0
2025-09-26,83,0.0,0.0,488.88888888888886,0.0,0.0,137.12844444444437,9180.0,0.0,0.0,0.0,626.0173333333332,10800.0
2025-09-26,84,0.0,0.0,422.22222222222223,0.0,0.0,130.7277777777777,9560.0,0.0,0.0,0.0,552.9499999999999,10800.0
2025-09-26,85,0.0,0.0,411.1111111111111,0.0,0.0,104.99398888888891,9930.0,0.0,0.0,0.0,516.1051,10800.0
2025-09-26,86,0.0,0.0,344.44444444444446,0.0,0.0,151.45083888888882,10240.0,0.0,0.0,0.0,495.8952833333333,10800.0
2025-09-26,87,0.0,0.0,244.44444444444443,0.0,0.0,214.44513888888892,10460.0,0.0,0.0,0.0,458.88958333333335,10800.0
2025-09-26,88,0.0,0.0,200.0,0.0,0.0,192.82658333333325,10640.0,0.0,0.0,0.0,392.82658333333325,10800.0
2025-09-26,89,0.0,0.0,133.33333333333334,0.0,0.0,179.96303333333336,10760.0,0.0,0.0,0.0,313.2963666666667,10800.0
2025-09-26,90,0.0,0.0,33.333333333333336,0.0,0.0,213.45666666666662,10790.0,0.0,0.0,0.0,246.78999999999996,10800.0
2025-09-26,91,0.0,0.0,11.11111111111111,0.0,0.0,201.95242222222222,10800.0,0.0,0.0,0.0,213.06353333333334,10800.0
