issue_date,issue_hour,window_position,absolute_date,absolute_t,pv_formal_kwh,pv_historical_kwh,actual_pv_kwh,error_formal_kwh,error_historical_kwh
2025-01-20,0,58,2025-01-20,58,719.5920333333333,741.8828614081995,712.5952166666666,-6.996816666666746,-29.28764474153286
2025-01-20,0,59,2025-01-20,59,719.5920333333333,762.7413558823529,770.8485833333334,51.25655000000006,8.107227450980531
2025-01-20,0,60,2025-01-20,60,719.5920333333333,783.9771390374332,825.53125,105.93921666666665,41.554110962566824
2025-01-20,0,61,2025-01-20,61,967.7234916666666,820.7221564171123,861.4814666666666,-106.24202500000001,40.759310249554346
2025-01-20,0,62,2025-01-20,62,967.7234916666666,854.2480414438503,869.8732,-97.85029166666664,15.6251585561497
2025-01-20,0,63,2025-01-20,63,967.7234916666666,882.6950868983957,885.0562499999999,-82.66724166666677,2.36116310160412
2025-01-20,0,64,2025-01-20,64,967.7234916666666,920.1891513368984,949.8770333333333,-17.846458333333317,29.687881996434953
2025-01-20,0,65,2025-01-20,65,967.7234916666666,944.2791785204992,979.81275,12.089258333333419,35.53357147950089
2025-01-20,0,66,2025-01-20,66,967.7234916666666,954.313669786096,970.64375,2.9202583333333223,16.330080213903898
2025-01-20,0,67,2025-01-20,67,1105.3004083333333,972.6554831550801,998.1872666666666,-107.1131416666667,25.531783511586468
2025-01-20,0,68,2025-01-20,68,1105.3004083333333,989.2450078431373,1011.1469666666667,-94.1534416666666,21.901958823529412
2025-01-20,0,69,2025-01-20,69,1105.3004083333333,995.0079211229944,996.83125,-108.46915833333333,1.8233288770055651
2025-01-20,0,70,2025-01-20,70,1105.3004083333333,993.2362658645277,1006.4735000000001,-98.82690833333322,13.237234135472363
2025-01-20,0,71,2025-01-20,71,1105.3004083333333,998.060971479501,1057.8823333333332,-47.418075000000044,59.821361853832286
2025-01-20,0,72,2025-01-20,72,1105.3004083333333,1005.9550802139037,1099.6062499999998,-5.694158333333462,93.65116978609615
2025-01-20,0,73,2025-01-20,73,1134.2974583333332,1001.7416508912656,1059.4625833333332,-74.83487500000001,57.72093244206758
2025-01-20,0,74,2025-01-20,74,1134.2974583333332,1003.348361942959,1019.1896499999999,-115.10780833333331,15.84128805704097
2025-01-20,0,75,2025-01-20,75,1134.2974583333332,1006.4609959893048,1017.2749999999999,-117.02245833333336,10.814004010695044
2025-01-20,0,76,2025-01-20,76,1134.2974583333332,987.232847593583,1016.9914166666667,-117.30604166666649,29.758569073083777
2025-01-20,0,77,2025-01-20,77,1134.2974583333332,965.7961182709446,1010.2652333333333,-124.03222499999993,44.46911506238871
2025-01-20,0,78,2025-01-20,78,1134.2974583333332,954.1866644385026,995.8625,-138.43495833333327,41.675835561497365
2025-01-20,0,79,2025-01-20,79,995.1110166666667,943.2117704991086,975.568,-19.543016666666745,32.356229500891345
2025-01-20,0,80,2025-01-20,80,995.1110166666667,917.182139483066,966.7533166666667,-28.357700000000023,49.57117718360075
2025-01-20,0,81,2025-01-20,81,995.1110166666667,874.9710561497326,958.75,-36.36101666666673,83.77894385026741
2025-01-20,0,82,2025-01-20,82,995.1110166666667,832.0629127450981,921.0309166666666,-74.08010000000013,88.96800392156854
2025-01-20,0,83,2025-01-20,83,995.1110166666667,805.349320409982,870.7207333333333,-124.3902833333334,65.37141292335127
2025-01-20,0,84,2025-01-20,84,995.1110166666667,785.872159090909,820.95625,-174.15476666666677,35.084090909090946
2025-01-20,0,85,2025-01-20,85,717.7520166666667,749.3209744206773,770.2869000000001,52.53488333333337,20.965925579322743
2025-01-20,0,86,2025-01-20,86,717.7520166666667,713.1058017825312,723.9499000000001,6.19788333333338,10.844098217468854
2025-01-20,0,87,2025-01-20,87,717.7520166666667,683.1854612299466,689.7124999999999,-28.039516666666827,6.527038770053309
2025-01-20,0,88,2025-01-20,88,717.7520166666667,646.5722928698752,668.8171333333332,-48.93488333333346,22.24484046345799
2025-01-20,0,89,2025-01-20,89,717.7520166666667,603.3777488413548,635.0513666666666,-82.70065000000011,31.673617825311794
2025-01-20,0,90,2025-01-20,90,717.7520166666667,562.1467245989304,586.33125,-131.42076666666674,24.18452540106955
2025-01-20,0,91,2025-01-20,91,407.42415,529.6084759358288,543.7302999999999,136.30614999999995,14.121824064171165
2025-01-20,0,92,2025-01-20,92,407.42415,486.6240820855615,497.73574999999994,90.31159999999994,11.111667914438442
2025-01-20,0,93,2025-01-20,93,407.42415,431.5263703208556,448.64375,41.219600000000014,17.117379679144392
2025-01-20,0,94,2025-01-20,94,407.42415,382.26036720142594,408.53931666666665,1.1151666666666529,26.278949465240714
