date,scenario_count,plan_energy_kwh,plan_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_initial_soc_kwh,dp_terminal_soc_kwh,dp_charge_kwh,dp_discharge_kwh,dp_unused_kwh,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_convexity_violation,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_unused_kwh,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-03-09,30,70647.79561195883,43359.173231999346,0.0,0.0,43359.173231999346,9899.783881678408,9851.587939018318,21461.242197936444,17426.9825287226,3280.010892745006,1.0107470416187425e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,43359.173231999346,9899.783881678408,9851.587939018318,21461.242197936437,17426.982528722598,3280.0108927450055,0.0,9.094947017729282e-13
2025-03-10,30,69508.33419687659,42695.725668365485,1940.0250023052206,11811.154953141715,54506.880621507196,9851.587939018318,9486.727305426592,19656.11747060199,16249.82972142017,0.0,9.876544027065393e-13,5.684341886080802e-14,2.9105606813573104e-12,1940.025002305219,13096.994599451154,55792.720267816636,9851.587939018318,9486.727305426592,19656.117470601992,16249.829721420167,0.0,0.0,8.881784197001252e-13
2025-03-11,30,71930.71324484047,43880.79181949301,38.56893544631912,176.64184630361558,44057.43366579663,9486.727305426592,9975.10383857523,20828.694156860212,16431.703387223,3633.3726106495806,9.876544027065393e-13,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,43880.79181949301,9486.727305426592,9932.2494658571,20828.69415686022,16470.27232266932,3633.3726106495797,0.0,9.094947017729282e-13
2025-03-12,30,69962.05759761493,42788.034972521345,0.0,0.0,42788.034972521345,9975.10383857523,9506.960143991468,20123.730966731477,16721.551408177882,4124.343355727993,1.0231815394945443e-12,5.684341886080802e-14,1.4557244298885053e-12,0.0,0.0,42788.034972521345,9932.2494658571,9506.960143991468,20171.34693641829,16721.55140817788,4076.7273860411788,0.0,9.094947017729282e-13
2025-03-13,30,69360.86763988069,42323.2293344732,2257.7727585840867,13399.337419965781,55722.56675443899,9506.960143991468,9806.967532787225,19964.041028077954,15900.86658282696,9.847936547117342,1.0231815394945443e-12,1.1368683772161603e-13,1.4557244298885053e-12,2257.7727585840867,14829.038157284203,57152.267491757404,9506.960143991468,9806.967532787225,19964.041028077954,15900.866582826962,9.84793654711632,0.0,9.094947017729282e-13
2025-03-14,30,31091.5944762332,16083.235763739005,0.0,0.0,16083.235763739005,9806.967532787225,10240.604529645332,20528.915063779394,16238.147904489011,10771.401333609485,9.663381206337363e-13,5.684341886080802e-14,1.8189894035458565e-12,0.0,0.0,16083.235763739005,9806.967532787225,10240.604529645332,20528.91506377939,16238.14790448901,10771.401333609489,0.0,9.094947017729282e-13
2025-03-15,30,30436.865266052337,15747.15935893378,334.2903092333081,1256.9856866039663,17004.14504553775,10240.604529645332,9406.833149847529,19890.636103964884,16861.809486029582,6818.203807350341,8.526512829121202e-13,5.684341886080802e-14,1.8189894035458565e-12,334.2903092333081,1255.5096866039662,17002.669045537747,10240.604529645332,9406.833149847529,19890.63610396489,16861.809486029582,6818.203807350339,0.0,8.810729923425242e-13
2025-03-16,30,71646.9837003318,43689.29050200549,0.0,0.0,43689.29050200549,9406.833149847529,10109.64930341195,20782.072763632248,16200.944400334143,3714.808403700347,9.983125437429408e-13,5.684341886080802e-14,2.9105606813573104e-12,0.0,0.0,43689.29050200549,9406.833149847529,10109.64930341195,20782.072763632255,16200.944400334145,3714.8084037003455,0.0,8.988365607365267e-13
2025-03-17,30,69180.21371235576,42286.111464940965,0.0,0.0,42286.111464940965,10109.64930341195,10084.837211770577,18476.352108990013,14988.176090759147,7833.906260791577,9.094947017729282e-13,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,42286.111464940965,10109.64930341195,10084.837211770577,18476.352108990017,14988.176090759152,7833.906260791577,0.0,8.597567102697212e-13
2025-03-18,30,65860.23398174837,40139.471436782595,263.69211931644315,1275.983581001416,41415.455017784014,10084.837211770577,10058.487533045723,21520.96574434709,17455.696963773513,932.6989538245705,1.0089706847793423e-12,2.842170943040401e-14,2.183142555622908e-12,263.69211931644315,1275.983581001416,41415.455017784014,10084.837211770577,10058.487533045723,21520.965744347093,17455.69696377351,932.69895382457,0.0,9.094947017729282e-13
