target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-02-11,9740.920496042234,46617.86529075107,81052.71521272963,50771.2164592317,30,Optimal,0.7421358999999939,46617.86529075105,0.0,0,13857,0,,False,False,1.1368683772161603e-13,1.5116796703296131e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-12,9862.54619359356,46157.10054255319,80194.51125142467,50313.9143395947,30,Optimal,0.7139397999999346,46157.100542553155,0.0,0,13085,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-13,9548.856865883432,46003.323622816824,79950.61282731415,50156.4177874432,30,Optimal,0.6943520000058925,46003.32362281682,0.0,0,13308,0,,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-14,10060.087676990968,13776.644996456149,35330.60085407627,18410.336177454454,30,Optimal,0.2393024999910267,13776.644996456123,3.637978807091713e-12,0,10170,0,,False,False,2.461320036672987e-11,3.637978807091713e-12,0.0,-3.2741809263825413e-12,1200.0,10800.000000000004,833.3333333333334,833.3333333333334,formal_output
2025-02-15,9625.857081900538,13996.489077850954,35795.296061561094,18670.13211344257,30,Optimal,0.27841450000414625,13996.489077850956,0.0,0,10192,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-16,9354.334930171919,45241.799236608094,79753.00488663148,49549.27024240233,30,Optimal,0.6648155000002589,45241.79923660807,0.0,0,13150,0,,False,False,1.1368683772161603e-13,1.7053025658242404e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-17,9557.49673522144,45895.21871350291,80724.91133582089,50278.98983265794,30,Optimal,0.7095103000028757,45895.21871350291,0.0,0,13094,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-18,9722.415229147393,44064.94741015616,78141.57855814733,48441.62847413693,30,Optimal,0.662672599995858,44064.94741015614,0.0,0,12799,0,,False,False,1.1368683772161603e-13,2.1600499167107046e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-19,10091.82564348213,43553.165974352436,77349.64625570727,47951.08467806474,30,Optimal,0.7279204000078607,43553.16597435245,1.8189894035458565e-12,0,12943,0,,False,False,8.753886504564434e-12,4.888534022029489e-12,0.0,-4.2667652675767e-13,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,formal_output
2025-02-20,9384.943867749156,44067.958175368745,78123.17199767393,48502.172493304985,30,Optimal,0.6314861999999266,44067.95817536871,0.0,0,12614,0,,False,False,2.2737367544323206e-13,2.2808421817899216e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-21,10217.481444837184,13206.292279818246,34397.501167769224,17851.205380106756,30,Optimal,0.2454353000066476,13206.292279818244,0.0,0,10167,0,,False,False,1.5347723092418164e-12,3.637978807091713e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-22,10030.428820239958,13061.25652069849,34316.0201948537,17631.936488056428,30,Optimal,0.24730029999045655,13061.256520698485,0.0,0,10168,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-23,9494.732165514202,43924.79302632323,77731.88954345831,48303.45187196629,30,Optimal,0.7794432999944547,43924.79302632322,0.0,0,13125,0,,False,False,1.1368683772161603e-13,2.5153212845907547e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-24,9922.418825363611,43316.71984616806,76807.75455326315,47684.49668060322,30,Optimal,0.6705988000030629,43316.719846168045,0.0,0,12757,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-25,9685.753948630283,42042.34297902517,75012.96300082633,46399.305399864425,30,Optimal,0.6016085999872303,42042.342979025176,0.0,0,12484,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-26,9892.170123064076,40071.69566904248,71596.78192026523,44255.624559233096,30,Optimal,0.6486796999961371,40071.69566904246,0.0,0,12341,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-27,9642.618300582233,40530.809666333305,72893.55615775619,44879.927997953826,30,Optimal,0.635648499999661,40530.809666333305,0.0,0,12771,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-28,10093.679577226527,12790.130525757217,33825.646077030826,17474.88840545335,30,Optimal,0.27028929999505635,12790.13052575722,0.0,0,10162,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-01,10104.443269977273,12623.647643890969,33478.95304903689,17305.032676722596,30,Optimal,0.26670769999327604,12623.647643890965,0.0,0,10139,0,,False,False,1.1368683772161603e-13,1.8474111129762605e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-02,9523.744089800171,42744.452068752915,75954.43546179368,47148.73090193253,30,Optimal,0.7332011999969836,42744.45206875288,0.0,0,12945,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-03,9533.23327972607,43527.52476510647,77072.01045154787,47730.09187299176,30,Optimal,0.7539707999967504,43527.52476510647,0.0,0,13240,0,,False,False,1.1368683772161603e-13,3.979039320256561e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
