date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-10-04,135,22:30,22:20-22:30,0.4198,379.33,0.0,372.53868097177707,0.0,1114.8261665472216,735.4961665472218,0.0,0.0,0.0,3589.78550560095,735.4961665472217,0.0,0.0,0.0,3589.78550560095
2025-10-04,136,22:40,22:30-22:40,0.4186,398.38348333333334,0.0,388.0290236854033,0.0,1156.6263567234305,758.2428733900972,0.0,0.0,0.0,4272.204091652037,758.2428733900972,0.0,0.0,0.0,4272.204091652037
2025-10-04,137,22:50,22:40-22:50,0.4241,405.0802,0.0,396.31551884769937,0.0,486.0483374867525,80.96813748675231,0.0,0.0,0.0,4345.075415390114,80.96813748675248,0.0,0.0,0.0,4345.075415390114
2025-10-04,138,23:00,22:50-23:00,0.4237,394.47499999999997,0.0,388.12197455219814,0.0,1073.0661858718206,678.5911858718212,0.0,0.0,0.0,4955.807482674753,678.5911858718207,0.0,0.0,0.0,4955.807482674753
2025-10-04,139,23:10,23:00-23:10,0.4248,418.76223333333337,0.0,394.88343174260007,0.0,453.88482572420565,35.12259239087244,0.0,0.0,0.0,4987.417815826539,35.122592390872285,0.0,0.0,0.0,4987.417815826539
2025-10-04,140,23:20,23:10-23:20,0.424,418.1903333333333,0.0,411.405295394451,0.0,484.98356990405074,66.79323657071716,0.0,0.0,0.0,5047.531728740184,66.79323657071745,0.0,0.0,0.0,5047.531728740184
2025-10-04,141,23:30,23:20-23:30,0.422,392.94999999999993,0.0,425.2403808172409,0.0,1112.199671667442,719.2496716674426,0.0,0.0,0.0,5694.856433240882,719.2496716674422,0.0,0.0,0.0,5694.856433240882
2025-10-04,142,23:40,23:30-23:40,0.424,415.6653833333333,0.0,428.57680778881854,0.0,548.4898535091025,132.8244701757689,0.0,0.0,0.0,5814.398456399074,132.82447017576925,0.0,0.0,0.0,5814.398456399074
2025-10-04,143,23:50,23:40-23:50,0.4271,491.53291666666667,0.0,422.4882333993382,0.0,521.9123840438419,30.379467377174983,0.0,0.0,0.0,5841.739977038532,30.379467377175274,0.0,0.0,0.0,5841.739977038532
2025-10-04,144,0:00+1,23:50-00:00+1,0.4276,570.1066666666666,0.0,413.8156001446077,0.0,585.8976961576059,15.791029490938955,0.0,0.0,0.0,5855.951903580377,15.791029490939309,0.0,0.0,0.0,5855.951903580377
2025-10-05,1,00:10,0:00-0:10,0.4248,589.088,0.0,582.9186406386473,0.0,1391.1791901705108,802.091190170511,0.0,0.0,0.0,6577.833974733837,802.0911901705108,0.0,0.0,0.0,6577.833974733837
