date,shared_plan_energy_kwh,shared_plan_cost_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_saving_yuan,dp_saving_rate_percent
2025-03-11,71930.71324484047,43880.79181949301,0.0,0.0,43880.79181949301,38.56893544631912,176.64184630361558,44057.43366579663,-176.64184630361706,-0.40254935925096064
2025-03-12,69962.05759761493,42788.034972521345,0.0,0.0,42788.034972521345,0.0,0.0,42788.034972521345,0.0,0.0
2025-03-13,69360.86763988069,42323.2293344732,2257.7727585840867,14829.038157284203,57152.267491757404,2257.7727585840867,13399.337419965781,55722.56675443899,1429.700737318417,2.501564329927261
2025-03-14,31091.5944762332,16083.235763739005,0.0,0.0,16083.235763739005,0.0,0.0,16083.235763739005,0.0,0.0
2025-03-15,30436.865266052337,15747.15935893378,334.2903092333081,1255.5096866039662,17002.669045537747,334.2903092333081,1256.9856866039663,17004.14504553775,-1.4760000000023865,-0.008680990002506425
2025-03-16,71646.9837003318,43689.29050200549,0.0,0.0,43689.29050200549,0.0,0.0,43689.29050200549,0.0,0.0
2025-03-17,69180.21371235576,42286.111464940965,0.0,0.0,42286.111464940965,0.0,0.0,42286.111464940965,0.0,0.0
2025-03-18,65860.23398174837,40139.471436782595,263.69211931644315,1275.983581001416,41415.455017784014,263.69211931644315,1275.983581001416,41415.455017784014,0.0,0.0
2025-03-19,65515.06550716962,40091.7690631212,0.0,0.0,40091.7690631212,0.0,0.0,40091.7690631212,0.0,0.0
2025-03-20,64656.64887434807,39639.12649345027,1131.5868247745293,7692.853475451258,47331.97996890153,1131.5868247745254,6178.081747821417,45817.208241271685,1514.7717276298426,3.200313463804158
2025-03-21,30718.316126163085,15799.739953526854,34.72210045406919,126.7330672687858,15926.47302079564,34.72210045406919,126.7330672687858,15926.47302079564,0.0,0.0
2025-03-22,30135.041891481127,15404.362632897359,0.0,0.0,15404.362632897359,0.0,0.0,15404.362632897359,0.0,0.0
2025-03-23,65917.87059389378,40305.08342340163,0.0,0.0,40305.08342340163,0.0,0.0,40305.08342340163,0.0,0.0
2025-03-24,64829.99012555522,39581.60448741769,0.0,0.0,39581.60448741769,0.0,0.0,39581.60448741769,0.0,0.0
2025-03-25,64205.05773567324,39193.96531338006,469.6120435562824,3178.0061318613893,42371.97144524145,469.6120435562794,2581.971064607844,41775.936377987906,596.0350672535424,1.4066729654621242
2025-03-26,65622.80260521863,39996.279940285705,0.0,0.0,39996.279940285705,0.0,0.0,39996.279940285705,0.0,0.0
2025-03-27,62772.04765905685,38283.299325682725,44.19052904370274,171.54763374765403,38454.84695943038,44.19052904370274,171.54763374765403,38454.84695943038,0.0,0.0
2025-03-28,30016.39543683837,15194.750366567572,0.0,0.0,15194.750366567572,0.0,0.0,15194.750366567572,0.0,0.0
2025-03-29,29153.690839538027,14699.959122992645,128.19700743627095,739.7281378841942,15439.687260876839,128.19700743627095,739.7281378841942,15439.687260876839,0.0,0.0
2025-03-30,61346.19510699307,37219.75274099827,0.0,0.0,37219.75274099827,0.0,0.0,37219.75274099827,0.0,0.0
2025-03-31,60343.81512541311,36575.43735058924,168.79718239950253,1079.4310862868658,37654.86843687611,184.38623036076208,878.4544019758526,37453.8917525651,200.97668431101192,0.5337335984799026
